biosample2 fava fava_norm
B-mix 0.006892921171294778 0.016910833342128374
XBB-029 0.013484038462202827 0.029894761682708007
XBB-029+XKB-029 0.018928969213611528 0.04067101845638693
XCB-029 0.040626310559563845 0.11900459247466517
XCB-029+XBB-029 0.0132668489043088 0.03088242371945439
XDB-029 0.02481681255864535 0.02776469306664872
XDB-029+XCB-029 0.021481272939965577 0.04474277948571178
XEB-029 0.021542832707841394 0.04640507515074504
XEB-029+XDB-029 0.012904245372125459 0.029808532220176973
XFB-029 0.014985310576256372 0.015982679459341356
XFB-029+XEB-029 0.007386119496506151 0.015004563471563946
XGB-029 0.037623186730465816 0.08194330429557861
XGB-029+XFB-029 0.03373075704012358 0.07836603164697269
XHB-029 0.00996428415981927 0.010544590076088316
XHB-029+XGB-029 0.01672246879903172 0.04861297721056641
XIB-029 0.014918958418732538 0.04820339345629984
XIB-029+XHB-029 0.0074451335952428095 0.013093514449390125
XJB-029 0.03289451044020814 0.04043375385030583
XJB-029+XIB-029 0.011996805388519481 0.02775265905514247
XKB-029 0.03735301723394693 0.03987861493653768
XKB-029+XJB-029 0.02162903754671423 0.04750420693492736
