biosample2 fava fava_norm
B-mix 0.027481100004169198 0.08416402344296403
XBB-029 0.030127688262444587 0.0657799325849816
XCB-029 0.049884273135841234 0.11891725354907234
XDB-029 0.03224680760816074 0.06157654905266133
XEB-029 0.035368012702113545 0.07948964518220158
XFB-029 0.018245571045746048 0.033063618605350134
XGB-029 0.04551319683491492 0.13142314701144395
XHB-029 0.022594087627779282 0.023078615731196912
XIB-029 0.03565465165535767 0.12473015071675918
XJB-029 0.04212211787509274 0.08704855112529712
XKB-029 0.05321793568558061 0.08091537800671088
