"biosample2","fava","fava_norm"
"B-mix",0.0274811000041692,0.084164023442964
"XBB-029",0.0301276882624446,0.0657799325849816
"XCB-029",0.0498842731358412,0.118917253549072
"XDB-029",0.0322468076081607,0.0615765490526613
"XEB-029",0.0353680127021135,0.0794896451822016
"XFB-029",0.018245571045746,0.0330636186053501
"XGB-029",0.0455131968349149,0.131423147011444
"XHB-029",0.0225940876277793,0.0230786157311969
"XIB-029",0.0356546516553577,0.124730150716759
"XJB-029",0.0421221178750927,0.0870485511252971
"XKB-029",0.0532179356855806,0.0809153780067109
