"biosample2","fava","fava_norm"
"B-mix",0.00689292117129478,0.0169108333421284
"XBB-029",0.0134840384622028,0.029894761682708
"XBB-029+XKB-029",0.0189289692136115,0.0406710184563869
"XCB-029",0.0406263105595638,0.119004592474665
"XCB-029+XBB-029",0.0132668489043088,0.0308824237194544
"XDB-029",0.0248168125586453,0.0277646930666487
"XDB-029+XCB-029",0.0214812729399656,0.0447427794857118
"XEB-029",0.0215428327078414,0.046405075150745
"XEB-029+XDB-029",0.0129042453721255,0.029808532220177
"XFB-029",0.0149853105762564,0.0159826794593414
"XFB-029+XEB-029",0.00738611949650615,0.0150045634715639
"XGB-029",0.0376231867304658,0.0819433042955786
"XGB-029+XFB-029",0.0337307570401236,0.0783660316469727
"XHB-029",0.00996428415981927,0.0105445900760883
"XHB-029+XGB-029",0.0167224687990317,0.0486129772105664
"XIB-029",0.0149189584187325,0.0482033934562998
"XIB-029+XHB-029",0.00744513359524281,0.0130935144493901
"XJB-029",0.0328945104402081,0.0404337538503058
"XJB-029+XIB-029",0.0119968053885195,0.0277526590551425
"XKB-029",0.0373530172339469,0.0398786149365377
"XKB-029+XJB-029",0.0216290375467142,0.0475042069349274
