Family subject1 recipient_ratio avg_mix_ratio log_recipient_ratio log_avg_mix_ratio
Acidaminococcaceae XBA 20.9297382147587 31.594445362868232 1.3207637962987078 1.4996107357734347
Acidaminococcaceae XDA 1.3946569845693362 1.0363295301515523 0.14446740615673542 0.015497873527557741
Acidaminococcaceae XEA 1 34.72536719215423 0 1.5406468467403442
Acidaminococcaceae XKA 1 31.345620275061297 0 1.496176868189049
Actinomycetaceae XBA 0.029367286245353175 0.40188753305003216 -1.5321361836481535 -0.39589546584467883
Actinomycetaceae XDA 1 22.1207364064507 0 1.3447995806767161
Actinomycetaceae XEA 1 16.743981773764098 0 1.2238587425906644
Actinomycetaceae XKA 1 15.927759056444799 0 1.2021546773779712
Akkermansiaceae XEA 1 89.90143336823479 0 1.9537666160819758
Akkermansiaceae XKA 1 23.8044100801833 0 1.3766574232776294
Anaerovoracaceae XBA 34.501365338391295 41.09735191374344 1.537836281948532 1.6138138392410464
Anaerovoracaceae XDA 32.2711549981642 77.39191052036391 1.508814509263614 1.8886955679183894
Anaerovoracaceae XEA 70.06732854045418 71.57213427061089 1.8455155594479555 1.8547439680051818
Anaerovoracaceae XKA 1 49.397533352499934 0 1.6937052631312601
Bacteroidaceae XBA 0.514429404225696 0.4258364718932012 -0.2886742155737349 -0.3707571450028332
Bacteroidaceae XDA 0.6396797927680735 0.6497288128316776 -0.19403736825685064 -0.18726787361273578
Bacteroidaceae XEA 0.5195985020233701 0.539443248723763 -0.28433210964658895 -0.2680542378439571
Bacteroidaceae XKA 0.7722466539809706 0.6514996173545617 -0.1122439647497218 -0.18608583502561163
Bifidobacteriaceae XDA 0.5504336282924975 0.5267076567860062 -0.2592950410957084 -0.27843036822740347
Bifidobacteriaceae XEA 13.465708090836499 15.920984985003265 1.1292291956129141 1.2019699327684121
Bifidobacteriaceae XKA 0.039428571428571445 0.5775666273401733 -1.404188957949039 -0.2383979088953614
Butyricicoccaceae XBA 1 64.10626140674005 0 1.8069004501364765
Butyricicoccaceae XDA 1 34.94810957497525 0 1.5434236887122799
Butyricicoccaceae XEA 0.8952755905511808 3.0001186117171725 -0.04804325626822224 0.4771384251849806
Butyricicoccaceae XKA 1 65.4222830665543 0 1.8157256957948535
Campylobacteraceae XBA 0.004244922084900589 0.06058209760325601 -2.372130276776513 -1.2176556936682634
Campylobacteraceae XEA 1 32.1543408360129 0 1.507239610973163
Campylobacteraceae XKA 1 10.3798630656526 0 1.0161916242037947
Christensenellaceae XBA 1 43.7792906597751 0 1.641268720570397
Christensenellaceae XEA 1 50.381960800376795 0 1.7022750656673076
Christensenellaceae XKA 1 33.734554963371096 0 1.528074985182671
Clostridiaceae XBA 1 17.743148637441898 0 1.2490306907228297
Clostridiaceae XDA 1 252.4986849026825 0 2.4022591205101436
Clostridiaceae XEA 1 10.649845372437401 0 1.0273433021987288
Clostridiaceae XKA 1 215.9809968660796 0 2.3344155413395473
Coriobacteriaceae XBA 1 34.449806442748546 0 1.5371867861541704
Coriobacteriaceae XDA 0.4479390906104463 0.9398357751784693 -0.3487810360245579 -0.026948027426618133
Coriobacteriaceae XEA 1 14.767632268157449 0 1.169310869360437
Coriobacteriaceae XKA 1 65.87716300648577 0 1.8187348880514815
Desulfovibrionaceae XBA 10.137841947773799 12.78116791454095 1.0059455161490956 1.1065705404941732
Desulfovibrionaceae XDA 1 10.613469318384599 0 1.025857368778668
Desulfovibrionaceae XEA 1 15.12228005523055 0 1.1796172766646362
Desulfovibrionaceae XKA 1 11.8127147766323 0 1.0723497178524117
Eggerthellaceae XBA 1 61.142498430634 0 1.786343181077484
Eggerthellaceae XDA 1 20.204650169139367 0 1.3054513353068704
Eggerthellaceae XEA 0.09163880597014894 3.8454637239059695 -1.0379205781901246 0.5849487188032603
Eggerthellaceae XKA 0.03179057591623038 1.2967271242521832 -1.4977016043603035 0.11284859528241346
Enterobacteriaceae XBA 821.1651977696743 988.4437586180893 2.9144305350277433 2.9949519634658848
Enterobacteriaceae XDA 1 1052.7282424106459 0 3.0223162742683725
Enterobacteriaceae XEA 1 709.6292556725273 0 2.8510315117211262
Enterobacteriaceae XKA 1.007420025364498 0.787611071051682 0.0032105794568334186 -0.10368818783246977
Enterococcaceae XBA 184.606831597364 922.69466727625 2.2662477685758073 2.9650580106088245
Enterococcaceae XDA 1 536.0946431959585 0 2.729241467657952
Enterococcaceae XEA 289.62684012324536 330.6695646352376 2.4618388060654737 2.519394223582432
Enterococcaceae XKA 1.7026645562325062 0.6407057925972235 0.23112909556877181 -0.1933413495501437
Erysipelatoclostridiaceae XBA 97.4540935624704 78.72801103020629 1.9888000863910766 1.8961292796457867
Erysipelatoclostridiaceae XDA 0.10107759158846145 0.2055720367921152 -0.9953451147171255 -0.6870359611398611
Erysipelatoclostridiaceae XEA 47.700559169234296 132.80023238332228 1.6785234700818232 2.1231988349921362
Erysipelatoclostridiaceae XKA 1.1305047073332253 6.202234178626838 0.0532723750534156 0.7925481599286203
Erysipelotrichaceae XBA 97.9446343018787 95.02541658276546 1.9909806490401512 1.9778397821867406
Erysipelotrichaceae XDA 0.020920938628158844 3.1375655365115667 -1.6794188345329994 0.49659280599445876
Erysipelotrichaceae XEA 71.4367225835901 92.45675820211392 1.8539215215172176 1.9659386617646686
Erysipelotrichaceae XKA 0.4184317691595385 1.037487901857233 -0.3783753493633003 0.015983041107234662
Eubacteriaceae XBA 1 57.750096193627336 0 1.7615527119637793
Eubacteriaceae XDA 1 25.799671209401534 0 1.4116141713565449
Eubacteriaceae XEA 1 33.842829187009066 0 1.5294666619599688
Eubacteriaceae XKA 30.7704765375116 34.9215108859935 1.4881342221496079 1.5430930252756543
Family_XI XBA 1422.895171443988 2037.7047718592767 3.153172905607538 3.309141262477029
Family_XI XDA 4.72744048695896 3.3966004693301612 0.6746260702832304 0.531044465277507
Family_XI XEA 516.0333219217162 1941.7774196938758 2.7126777463161287 3.2881994465098052
Family_XI XKA 431.596420907729 2057.019422281071 2.6350778345593704 3.3132383923022464
Fusobacteriaceae XBA 1 120.151973925286 0 2.0797309100364445
Fusobacteriaceae XEA 1 196.817334671391 0 2.2940633462324747
Lachnospiraceae XBA 1.0405665855976303 0.9603865809707728 0.01726987583297515 -0.017553916764802367
Lachnospiraceae XDA 1.0111576226473304 1.3862944334534772 0.004818860151051745 0.14185547936958595
Lachnospiraceae XEA 1.0522885292327047 0.5367140519303186 0.02213483627495598 -0.27025703412248864
Lachnospiraceae XKA 1.6583360583285411 1.265655851683044 0.2196725439999168 0.1023156314052995
Methanobacteriaceae XBA 1 74.5544603218156 0 1.8724736308233025
Methanobacteriaceae XDA 1 56.7608227858021 0 1.7540486822178492
Methanobacteriaceae XEA 1 57.6699272551528 0 1.7609494035921762
Methanobacteriaceae XKA 1 63.7803968343577 0 1.8046872170461004
Oscillospiraceae XBA 247.5595598214432 283.4046979526542 2.393679701814894 2.452407045198679
Oscillospiraceae XDA 0.522618687027724 0.37792735796022375 -0.2818150654699105 -0.42259166859871344
Oscillospiraceae XEA 0.639398020246118 0.40852971718789305 -0.1942287127586029 -0.38877634661919114
Oscillospiraceae XKA 1.387919735828849 1.9432254780175686 0.1423643513533152 0.28852319595614273
Peptostreptococcaceae XBA 1 538.7717907181584 0 2.7314048486393627
Peptostreptococcaceae XDA 1 373.14807209211824 0 2.5718812021351156
Peptostreptococcaceae XEA 0.6028541261505165 2.2380427233438978 -0.21978776227443972 0.3498683727800895
Peptostreptococcaceae XKA 1 295.7569858695919 0 2.470935011588332
Porphyromonadaceae XBA 1 138.26893978063976 0 2.14072463277126
Porphyromonadaceae XDA 1 260.915307732772 0 2.416499559624754
Porphyromonadaceae XEA 1 558.50246789686 0 2.7470250965055585
Porphyromonadaceae XKA 1 386.250673693036 0 2.5868692499239274
Prevotellaceae XBA 1 12.077275905538999 0 1.0819689878773942
Prevotellaceae XDA 1 15.651038147998 0 1.1945431499970713
Prevotellaceae XEA 0.007041055045871579 0.10344755772979661 -2.152362260421863 -0.9852797580382954
Rikenellaceae XBA 70.9648936344163 279.2463183048083 1.8510435561633505 2.445987455913175
Rikenellaceae XDA 0.7040635996814816 0.566580475618893 -0.15238810826819044 -0.24673839535930675
Rikenellaceae XEA 147.2098596371106 294.80047064902556 2.1679368986060368 2.469528172538817
Rikenellaceae XKA 1 382.73070831397536 0 2.5828933091444632
Ruminococcaceae XBA 1 86.03980689436892 0 1.9346994269966418
Ruminococcaceae XDA 45.0250246381573 83.22795509804001 1.6534539591420503 1.9202692241950379
Ruminococcaceae XEA 2.3426328429822463 1.2971022869274635 0.36970422766582617 0.11297422504058048
Ruminococcaceae XKA 31.3777885744362 97.23754189865387 1.4966223323751273 1.9878339716301234
Streptococcaceae XBA 0.5094902719805614 0.44937281509643917 -0.2928641038371336 -0.3473932038588375
Streptococcaceae XDA 888.3263444704249 963.5667978574554 2.9485725418663407 2.983881826864162
Streptococcaceae XEA 0.635154386201452 0.6627282364640315 -0.19712069844669544 -0.17866452529048746
Streptococcaceae XKA 1 1045.2429487469121 0 3.019217246463413
Sutterellaceae XBA 622.4961983092692 497.92607882808136 2.794136703465207 2.6971648730007636
Sutterellaceae XDA 2.014177500988653 0.5936885479503797 0.3040977404495243 -0.22644132838558928
Sutterellaceae XEA 1861.4629693027523 677.2655418877505 3.2698544010768718 2.8307589800081088
Sutterellaceae XKA 0.7778091315032382 1.201253173435504 -0.10912696252799253 0.079634547984579
Tannerellaceae XBA 161.3879032653662 229.59822165999805 2.207870979320477 2.3609685199356885
Tannerellaceae XDA 0.00792763337893297 1.6933601354177266 -2.1008564424264113 0.22874933152404275
Tannerellaceae XEA 97.45520940317239 266.39248867353285 1.9888050589957926 2.4255219751017685
Tannerellaceae XKA 1 276.6117290365067 0 2.4418705913475334
Veillonellaceae XBA 3.7266216363822458 2.8284498143899954 0.5713153011056448 0.45154847739254833
Veillonellaceae XDA 1 618.4408377362964 0 2.791298159787926
Veillonellaceae XEA 118.22435239073398 515.2840644465988 2.072706943716003 2.7120467117800704
Veillonellaceae XKA 0.6323907054296276 0.19877405768310843 -0.19901452174154913 -0.7016402967005417
NA XDA 1 19.420707797404475 0 1.2882650539399296
NA XEA 0.08410684931506834 1.1151323256449104 -1.0751686356097534 0.04732640539993349
