filename,sample,group,round2plate,round1index,metadata
16S-A-D8-L2,AME0060-D08,eACE010-eAME063,A,2,XIB-029+XCA-029
16S-A-E8-L2,AME0060-E08,eACE010-eAME064,A,2,XIB-029+XSA-029
16S-A-F8-L2,AME0060-F08,eACE010-eAME065,A,2,XIB-029+XJA-029
16S-A-G8-L2,AME0060-G08,eACE010-eAME066,A,2,XIB-029+XGA-029
16S-A-H8-L2,AME0060-H08,eACE010-eAME067,A,2,XIB-029+XLA-029
16S-A-A9-L2,AME0060-A09,eACE010-eAME068,A,2,XJB-029+XDA-029
16S-A-B9-L2,AME0060-B09,eACE010-eAME069,A,2,XJB-029+XEA-029
16S-A-C9-L2,AME0060-C09,eACE010-eAME070,A,2,XJB-029+XFA-029
16S-A-D9-L2,AME0060-D09,eACE010-eAME071,A,2,XJB-029+XCA-029
16S-A-E9-L2,AME0060-E09,eACE010-eAME072,A,2,XJB-029+XSA-029
16S-A-F9-L2,AME0060-F09,eACE010-eAME073,A,2,XJB-029+XJA-029
16S-A-G9-L2,AME0060-G09,eACE010-eAME074,A,2,XJB-029+XGA-029
16S-A-H9-L2,AME0060-H09,eACE010-eAME075,A,2,XJB-029+XLA-029
16S-A-A10-L2,AME0060-A10,eACE010-eAME076,A,2,XKB-029+XDA-029
16S-A-B10-L2,AME0060-B10,eACE010-eAME077,A,2,XKB-029+XEA-029
16S-A-C10-L2,AME0060-C10,eACE010-eAME078,A,2,XKB-029+XFA-029
16S-A-D10-L2,AME0060-D10,eACE010-eAME079,A,2,XKB-029+XCA-029
16S-A-E10-L2,AME0060-E10,eACE010-eAME080,A,2,XKB-029+XSA-029
16S-A-F10-L2,AME0060-F10,eACE010-eAME081,A,2,XKB-029+XJA-029
16S-A-G10-L2,AME0060-G10,eACE010-eAME082,A,2,XKB-029+XGA-029
16S-A-H10-L2,AME0060-H10,eACE010-eAME083,A,2,XKB-029+XLA-029
16S-A-A11-L2,AME0060-A11,eACE010-eAME084,A,2,blank+XDA-029
